1,2025-08-03,Out,15:18,Home
1,2025-08-03,IN,15:18,N/A
4,2025-08-03,Out,15:18,Shop
4,2025-08-03,IN,15:19,N/A
2,2025-08-03,Out,15:19,Home
2,2025-08-03,IN,15:19,N/A
3,2025-08-03,Out,15:19,Town
3,2025-08-03,IN,15:20,N/A
7,2025-08-03,Out,15:21,Home
6,2025-08-03,Out,15:21,Shop
7,2025-08-03,IN,15:21,N/A
6,2025-08-03,IN,15:21,N/A
8,2025-08-03,Out,15:30,Home
8,2025-08-03,IN,15:33,N/A
1,2025-09-25,Out,17:12,Home
9,2025-10-06,Out,10:40,Home
9,2025-10-06,IN,10:41,N/A
10,2025-10-06,Out,10:43,Home
5,2025-10-06,IN,10:44,N/A
10,2025-10-06,IN,10:45,N/A
1,2025-10-06,IN,11:16,N/A
